org_id,user_id,top_product,preferred_payment,avg_browse_secs,label,time_in_sales,time_in_inventory,time_in_purchasing,time_in_crm,time_in_accounting,time_in_hr,time_in_analytics,time_in_support,ERP_Customization_Class
2,200000,Desk,UPI,83.96762229402246,inv_acct,25.451597532034945,57.5068983926931,46.544559498661584,27.511007981250543,45.84893335475496,28.614043360930594,18.80261076361548,31.2742358259057,0
2,200001,Monitor,NetBanking,64.39591398283216,analytics_hr,35.60637975240382,16.940671490554795,26.008840892277803,29.095686285411247,37.008475359613534,46.60494870034732,61.71239604135281,35.432814045535565,0
2,200002,Chair,COD,88.58646575965405,inv_acct,43.391368531679845,64.03177136759666,31.29299929746266,36.6616293129304,36.92109482150768,22.29259943451374,38.004660039082125,24.53539134277195,0
2,200003,Monitor,COD,102.05996131554464,sales_crm,40.48243334423242,24.721034102918725,30.396374479550047,42.31860330704955,25.10261915123333,46.45476433279482,32.64527906914388,19.745208288962367,0
2,200004,Headset,UPI,69.85644560164347,inv_acct,35.33006368147552,67.0983388514448,43.49443783813594,44.65570868270785,52.35311480017551,25.532407839101413,48.25554100964288,24.32784908790419,1
2,200005,Chair,UPI,45.81803148962274,sales_crm,70.1185490947245,56.3679771245929,52.69305937092815,48.16061825122103,36.396142163451614,49.23439038478523,43.44185798879601,43.39486996355939,1
2,200006,Desk,COD,76.16248096745257,inv_acct,17.313038601416647,47.76405722517844,45.70242999389383,35.757330734894204,34.58110288841739,8.477473614672647,22.33352029236171,28.365550479058403,0
2,200007,Monitor,Card,61.59809280974871,analytics_hr,35.48622170814054,33.42232496426625,20.666072024137392,36.62113092730522,31.290714567210465,59.83100606246976,66.22096389445578,37.92005801482598,0
2,200008,Chair,COD,71.15360917377909,sales_crm,55.47682839122647,24.35091190485075,41.2473285519676,53.76980565892801,23.2827897043169,33.34043916662112,48.44166183595857,32.9361376797881,0
2,200009,Monitor,COD,75.9657677450982,analytics_hr,27.01345417942907,29.535352796804418,54.54955976468614,30.33839486242103,22.30014662344719,45.62385206507888,58.43124827506804,36.4892674884625,0
2,200010,Laptop,NetBanking,24.621326578402567,inv_acct,32.29235615072594,56.548496662280414,64.54548833954203,20.57612413303749,35.90074405283137,38.96903461848956,53.15365578114941,29.75184196956229,0
2,200011,Printer,Card,64.52886723851994,inv_acct,46.68384069643261,44.268383450975335,32.03738916588576,33.8540975281615,37.15597060084777,48.444297491497565,25.203550330448287,36.86253542475167,0
2,200012,Monitor,NetBanking,52.80025848878098,sales_crm,58.73216226497448,27.51880332144213,28.467843184677864,42.345106036440114,42.86597552644874,48.76543486944768,24.768457302882435,32.42077929515757,0
2,200013,Mouse,NetBanking,79.30166889750508,sales_crm,45.23020174749941,37.77282350609287,44.13307188812025,39.13143659592734,27.008372942064952,46.37368751418032,24.1568667721815,32.13656249053579,0
2,200014,Headset,NetBanking,78.6476430141149,analytics_hr,35.13530555134572,39.42769580567064,27.2629286689994,30.196730832209404,32.148249941087045,41.97896295041279,58.97843661196964,20.789053796411217,0
